Year,State,County,Uninsured #,Uninsured %,Uninsured 95% CI - Low, Uninsured 95% CI - High, Uninsured Z-Score,Adults Uninsured # ,Adults Uninsured % ,Adults Uninsured 95% CI - Low,Adults Uninsured 95% CI - High,Children Uninsured #,Children Uninsured %,Children Uninsured 95% CI - Low,Children Uninsured 95% CI - High,Unemployed # ,Labor Force,Unemployed %,Unemployed Z-Score,Severe Housing Problems %,Severe housing problems 95% CI - Low,Severe housing problems 95% CI - High,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Severe housing problems Z-Score,Homeowners #,Homeowners % ,Homeowners 95% CI - Low,Homeowners 95% CI - High,Households with Severe Cost Burden #,Severe Housing Cost Burden %,Severe housing cost burden 95% CI - Low,Severe housing cost burden 95% CI - High
2022,California,Plumas,886,7,6,8,-0.9,763,8,6,9,136,4,3,5,806,7559,10.7,0.38,17,13,20,15,1,1,-1.36,6077,73,69,77,1136,14,11,17
2022,California,Riverside,203605,10,9,10,0.66,183711,13,12,13,22185,3,3,4,109998,1107723,9.9,0.09,25,25,26,19,7,1,0.8,497259,68,67,68,137012,19,19,20
2022,California,Sacramento,89530,7,6,7,-0.85,79690,8,8,9,10948,3,2,4,65558,707182,9.3,-0.18,22,21,22,18,5,1,-0.07,314234,57,57,58,92776,17,17,18
2022,California,San Benito,4869,9,8,10,0.21,4199,11,9,13,741,4,3,6,3119,31528,9.9,0.07,22,20,25,15,8,1,0.1,12013,65,63,68,2785,15,13,18
2022,California,San Bernardino,184915,10,9,11,0.68,164814,13,12,13,22438,4,3,5,91295,966206,9.4,-0.11,26,26,27,19,9,1,1.06,384774,60,59,61,115527,18,18,19
2022,California,San Diego,247271,9,8,9,0.2,222201,11,10,11,27812,4,3,4,141814,1538361,9.2,-0.2,25,25,25,20,7,1,0.76,609350,54,53,54,225465,20,20,21
2022,California,San Francisco,37808,5,5,6,-1.7,35113,6,5,6,3056,2,2,3,43525,556056,7.8,-0.76,24,23,24,16,6,4,0.42,137679,38,37,39,57313,16,16,17
2022,California,San Joaquin,53036,8,7,9,-0.17,46804,10,9,12,6990,3,2,4,37374,331828,11.3,0.63,24,24,25,18,7,1,0.56,133381,58,57,59,40111,18,17,19
2022,California,San Luis Obispo,14763,7,6,8,-0.77,12969,8,7,9,2028,4,3,5,10195,132690,7.7,-0.82,21,20,22,18,3,1,-0.2,66635,63,61,64,19059,18,17,20
2022,California,San Mateo,37100,6,5,6,-1.39,32679,7,6,7,5084,3,2,4,29748,433876,6.9,-1.15,24,23,24,17,8,1,0.38,157703,60,59,61,45979,18,17,19
2022,California,Santa Barbara,43058,12,11,13,1.76,39104,15,13,17,4519,4,3,6,17335,217510,8,-0.7,29,28,30,20,11,1,1.78,77504,52,51,53,28335,20,19,21
2022,California,Santa Clara,91263,6,5,6,-1.53,81141,7,6,7,11618,3,2,3,71340,1020693,7,-1.1,23,22,23,16,8,1,0.19,358228,56,56,57,98508,16,15,16
2022,California,Santa Cruz,17026,8,7,9,-0.31,15106,9,8,10,2164,4,3,5,12714,133646,9.5,-0.08,27,26,28,21,7,1,1.21,58094,60,59,62,19145,20,19,22
2022,California,Shasta,11387,8,7,9,-0.2,10256,10,9,12,1255,3,2,4,6343,72827,8.7,-0.4,22,21,23,18,3,2,0.04,46238,65,64,66,12968,19,17,20
2022,California,Sierra,144,7,6,8,-0.72,123,8,7,9,22,4,3,6,103,1282,8,-0.68,17,7,28,17,0,0,-1.18,917,73,59,88,253,22,10,33
2022,California,Siskiyou,2910,9,8,11,0.36,2550,11,9,13,390,4,3,6,1637,16923,9.7,-0.02,19,18,21,15,3,2,-0.67,12659,66,64,68,2753,15,13,17
2022,California,Solano,21935,6,5,7,-1.27,19423,7,6,8,2852,3,2,3,19205,202812,9.5,-0.1,21,20,22,16,5,1,-0.25,93839,62,61,63,23537,16,15,17
2022,California,Sonoma,30207,8,7,9,-0.37,26419,9,8,10,4270,4,3,5,19300,245091,7.9,-0.74,23,22,23,18,5,1,0.13,115845,61,60,62,33516,18,17,19
2022,California,Stanislaus,39386,8,8,9,-0.07,34577,11,9,12,5298,3,3,4,25756,240641,10.7,0.4,23,22,24,17,7,1,0.26,102675,59,58,60,29762,18,17,19
2022,California,Sutter,7213,9,8,10,0.19,6307,11,10,13,1003,4,3,5,4995,45467,11,0.51,19,17,21,13,6,1,-0.72,19267,59,57,61,4366,14,12,15
2022,California,Tehama,4448,9,7,10,0.08,3930,11,9,13,569,4,3,5,2262,25579,8.8,-0.35,23,21,26,18,5,1,0.3,16282,66,64,68,4376,19,16,21
2022,California,Trinity,867,10,9,12,0.79,762,12,10,14,115,5,4,7,360,4515,8,-0.7,20,16,24,16,3,2,-0.48,4041,69,64,73,932,17,11,22
2022,California,Tulare,38062,10,9,10,0.49,34198,13,12,14,4394,3,2,4,26299,199151,13.2,1.41,27,25,28,18,10,1,1.13,79353,57,56,58,24709,18,17,20
2022,California,Tuolumne,2498,7,6,8,-0.88,2160,8,6,9,368,4,3,5,2084,20038,10.4,0.28,20,17,22,16,3,2,-0.63,16886,74,71,76,3736,17,14,20
2022,California,Ventura,72745,10,10,11,0.91,65807,13,12,14,7900,4,3,5,34964,408867,8.6,-0.47,23,23,24,18,7,1,0.32,172037,63,62,64,48788,18,18,19
2022,California,Yolo,12146,7,6,8,-0.94,10922,8,7,9,1455,3,2,4,7915,105026,7.5,-0.88,24,23,25,19,6,1,0.47,38280,51,50,53,13680,19,18,20
2022,California,Yuba,5424,8,7,9,-0.21,4705,10,9,12,781,4,2,5,3163,30042,10.5,0.33,23,21,25,16,7,2,0.22,16089,61,58,63,3951,15,13,18
2022,Wyoming,Albany,4179,13,11,15,-0.95,3629,14,12,16,617,10,7,13,780,19726,4,-1.25,21,19,24,18,2,1,2.75,8387,52,50,54,3433,22,18,26
2022,Wyoming,Big Horn,1942,22,19,24,2.28,1472,24,21,27,499,17,12,22,269,5381,5,-0.35,11,8,14,8,2,1,-0.15,3290,75,70,79,274,7,4,9
2022,Wyoming,Campbell,5531,13,12,15,-0.83,4322,15,13,17,1311,10,7,13,1617,23439,6.9,1.29,13,10,16,11,3,0,0.4,13056,75,72,77,1959,12,8,15
